title,name,district,party,phone_num,email,leg_page,last,first,img_link,id
Representative,James Coleman,7,Democrat,303-866-2909,james.coleman.house@state.co.us,/legislators/james-coleman,Coleman,James,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_coleman-co-17.jpg?itok=ryJb8wPe,71repcoleman7
Senator,John Cooke,13,Republican,303-866-4451,john.cooke.senate@state.co.us,/legislators/john-cooke,Cooke,John,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_cooke-co-17.jpg?itok=wLGFmGj7,71sencooke13
Senator,Don Coram,6,Republican,303-866-4884,don.coram.senate@state.co.us,/legislators/don-coram,Coram,Don,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_coram-co-17.jpg?itok=ybS1ZNG_,71sencoram6
Senator,Lois Court,31,Democrat,303-866-4861,lois.court.senate@state.co.us,/legislators/lois-court,Court,Lois,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_court-co-17.jpg?itok=Vgky5AAh,71sencourt31
Representative,Phil Covarrubias,56,Republican,303-866-2912,Phil.Covarrubias.house@state.co.us,/legislators/phil-covarrubias,Covarrubias,Phil,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_1covarrubias-co-17_1.jpg?itok=JwFPMO92,71repcovarrubias56
Senator,Larry Crowder,35,Republican,303-866-4875,larry.crowder.senate@state.co.us,/legislators/larry-w-crowder,Crowder,Larry,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_crowder-co-17.jpg?itok=ccBlL26h,71sencrowder35
Representative,Jessie Danielson,24,Democrat,303-866-5522,jessie.danielson.house@state.co.us,/legislators/jessie-danielson,Danielson,Jessie,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_danielson-co-17.jpg?itok=DYr_49DF,71repdanielson24
Senator,Kerry Donovan,5,Democrat,303-866-4871,kerry.donovan.senate@state.co.us,/legislators/kerry-donovan,Donovan,Kerry,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_donovan-co-17.jpg?itok=xDOsHs_B,71sendonovan5
Representative,Crisanta Duran,5,Democrat,303-866-2925,crisanta.duran.house@state.co.us,/legislators/crisanta-duran,Duran,Crisanta,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_h-speaker%20duran%20-17.jpg?itok=aPBQpZ1i,71repduran5
Representative,Daneya Esgar,46,Democrat,303-866-2968,daneya.esgar.house@state.co.us,/legislators/daneya-esgar,Esgar,Daneya,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_esgar-co-17.jpg?itok=WmxetJSX,71repesgar46
Representative,Justin Everett,22,Republican,303-866-2927,justin.everett.house@state.co.us,/legislators/justin-everett,Everett,Justin,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_everett-co-15.jpg?itok=TruPPoB3,71repeverett22
Representative,Tony Exum,17,Democrat,303-866-3069,tony.exum.house@state.co.us,/legislators/tony-exum-sr,Exum,Tony,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_exum-co-17.jpg?itok=BAz9Yygu,71repexum17
Senator,Stephen Fenberg,18,Democrat,303-866-4872,stephen.fenberg.senate@state.co.us,/legislators/stephen-fenberg,Fenberg,Stephen,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_fenberg-co-17.jpg?itok=m9sVMgOg,71senfenberg18
Senator,Rhonda Fields,29,Democrat,303-866-4879,rhonda.fields.senate@state.co.us,/legislators/rhonda-fields,Fields,Rhonda,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_fields-co-17.jpg?itok=NZ885Ux1,71senfields29
Representative,Mike Foote,12,Democrat,303-866-2920,mike.foote.house@state.co.us,/legislators/mike-foote,Foote,Mike,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_foote-co-17.jpg?itok=XVGfigl7,71repfoote12
Senator,Leroy Garcia,3,Democrat,303-866-4878,leroy.garcia.senate@state.co.us,/legislators/leroy-m-garcia-jr,Garcia,Leroy,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-garcia%2C%20leroy.jpg?itok=R636cvVe,71sengarcia3
Senator,Bob Gardner,12,Republican,303-866-4880,bob.gardner.senate@state.co.us,/legislators/bob-gardner,Gardner,Bob,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_gardner-co-17.jpg?itok=Szs8CoL7,71sengardner12
Representative,Alec Garnett,2,Democrat,303-866-2911,alec.garnett.house@state.co.us,/legislators/alec-garnett,Garnett,Alec,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_garnett-co-17.jpg?itok=uwR0p2IS,71repgarnett2
Representative,Joann Ginal,52,Democrat,303-866-4569,joannginal@yahoo.com,/legislators/joann-ginal,Ginal,Joann,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_ginal-co-17.jpg?itok=rg01mgi5,71repginal52
Senator,Kevin Grantham,2,Republican,303-866-4877,kevin.grantham.senate@state.co.us,/legislators/kevin-j-grantham,Grantham,Kevin,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_grantham.jpg?itok=D5Y5i4MY,71sengrantham2
Representative,Matt Gray,33,Democrat,303-866-4667,matt@matthewgray.us,/legislators/matt-gray,Gray,Matt,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_gray-co-17.jpg?itok=1fstE2Kv,71repgray33
Senator,Lucia Guzman,34,Democrat,303-866-4862,lucia.guzman.senate@state.co.us,/legislators/lucia-guzman,Guzman,Lucia,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_guzman-co-17.jpg?itok=wxgGlnl2,71senguzman34
Representative,Millie Hamner,61,Democrat,303-866-2952,rephamner@gmail.com,/legislators/millie-hamner,Hamner,Millie,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_hamner-co-17.jpg?itok=fVh61CjX,71rephamner61
Representative,Chris Hansen,6,Democrat,303-866-2967,chris.hansen.house@state.co.us,/legislators/chris-hansen,Hansen,Chris,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_hansen-co-17.jpg?itok=TtlOzE2U,71rephansen6
Representative,Leslie Herod,8,Democrat,303-866-2959,leslie.herod.house@state.co.us,/legislators/leslie-herod,Herod,Leslie,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_herod-co-17.jpg?itok=plXxMhIY,71repherod8
Senator,Owen Hill,10,Republican,303-866-2737,owen.hill.senate@state.co.us,/legislators/owen-hill,Hill,Owen,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_hill-co-17.jpg?itok=-wkltSd_,71senhill10
Senator,Chris Holbert,30,Republican,303-866-4881,chris.holbert.senate@state.co.us,/legislators/chris-holbert,Holbert,Chris,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_holbert-co-17.jpg?itok=9DDx-oPQ,71senholbert30
Representative,Edie Hooton,10,Democrat,303-866-2915,edie.hooton.house@state.co.us,/legislators/edie-hooton,Hooton,Edie,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_hooton-co-17.jpg?itok=6N87z25C,71rephooton10
Representative,Stephen Humphrey,48,Republican,303-866-2943,rephumphrey48@yahoo.com,/legislators/stephen-humphrey,Humphrey,Stephen,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_humphrey-co-17.jpg?itok=bXKFzgmz,71rephumphrey48
Representative,Dominique Jackson,42,Democrat,303-866-3911,dominique.jackson.house@state.co.us,/legislators/dominique-jackson,Jackson,Dominique,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_jackson-co-17.jpg?itok=yaBnFiej,71repjackson42
Senator,Cheri  Jahn,20,Unaffiliated,303-866-4856,cheri.jahn.senate@state.co.us,/legislators/cheri-jahn,Jahn,Cheri ,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_jahn-co-17.jpg?itok=vA7f92bX,71senjahn20
Senator,Matt Jones,17,Democrat,303-866-5291,senatormattjones@gmail.com,/legislators/matt-jones,Jones,Matt,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_jones-co-17.jpg?itok=IAc_0aEl,71senjones17
Senator,Daniel Kagan,26,Democrat,303-866-4846,senatordanielkagan@gmail.com,/legislators/daniel-kagan,Kagan,Daniel,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_kagan-co-17.jpg?itok=xR5GUS1R,71senkagan26
Senator,John Kefalas,14,Democrat,303-866-4841,john.kefalas.senate@state.co.us,/legislators/john-kefalas,Kefalas,John,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-kefalas%2C%20john.jpg?itok=MKK3cMfE,71senkefalas14
Representative,Chris Kennedy,23,Democrat,303-866-2951,chris.kennedy.house@state.co.us,/legislators/chris-kennedy,Kennedy,Chris,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_kennedy-co-17.jpg?itok=9tRxFCT3,71repkennedy23
Senator,Andy Kerr,22,Democrat,303-866-4859,SenatorAndyKerr@gmail.com,/legislators/andy-kerr,Kerr,Andy,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_kerr-co-17.jpg?itok=TYA0L-BL,71senkerr22
Representative,Tracy Kraft-Tharp,29,Democrat,303-866-2950,reptracy29@gmail.com,/legislators/tracy-kraft-tharp,Kraft-Tharp,Tracy,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_kraft-tharp-c-17.jpg?itok=rSvuyKcr,71repkraft-tharp29
Senator,Kent Lambert,9,Republican,303-866-4835,senatorlambert@comcast.net,/legislators/kent-d-lambert,Lambert,Kent,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lambert-co-17.jpg?itok=bTv0rGGK,71senlambert9
Representative,Lois Landgraf,21,Republican,303-866-2946,lois.landgraf.house@state.co.us,/legislators/lois-landgraf,Landgraf,Lois,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_landgraf-c-17.jpg?itok=pewaRwPq,71replandgraf21
Representative,Polly Lawrence,39,Republican,303-866-2935,polly.lawrence.house@state.co.us,/legislators/polly-lawrence,Lawrence,Polly,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lawrence-co-17.jpg?itok=b2-EgbCS,71replawrence39
Representative,Pete Lee,18,Democrat,303-866-2932,pete.lee.house@state.co.us,/legislators/pete-lee,Lee,Pete,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lee-co-17.jpg?itok=xUslw-MB,71replee18
Representative,Timothy Leonard,25,Republican,303-866-2582,tim.leonard.house@state.co.us,/legislators/timothy-leonard,Leonard,Timothy,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_leonard-co-17.jpg?itok=po_QlVR7,71repleonard25
Representative,Kimmi Lewis,64,Republican,303-866-2398,kimmi.lewis.house@state.co.us,/legislators/kimmi-lewis,Lewis,Kimmi,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lewis-co-17.jpg?itok=PW_90ZHJ,71replewis64
Representative,Larry Liston,16,Republican,303-866-2937,larry.liston.house@state.co.us,/legislators/larry-liston,Liston,Larry,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_liston-co-17.jpg?itok=wU3y2Van,71repliston16
Representative,Susan Lontine,1,Democrat,303-866-2966,susan.lontine.house@state.co.us,/legislators/susan-lontine,Lontine,Susan,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lontine-co-17.jpg?itok=6IbkapD2,71replontine1
Senator,Kevin Lundberg,15,Republican,303-866-4853,kevin@kevinlundberg.com,/legislators/kevin-lundberg,Lundberg,Kevin,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lundberg-co-17.jpg?itok=7RvI3oMC,71senlundberg15
Representative,Paul Lundeen,19,Republican,303-866-2924,paul.lundeen.house@state.co.us,/legislators/paul-lundeen,Lundeen,Paul,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lundeen-co-17.jpg?itok=c-OFvapt,71replundeen19
Senator,Vicki Marble,23,Republican,303-866-4876,vicki.marble.senate@state.co.us,/legislators/vicki-marble,Marble,Vicki,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-marble%2C%20vicki.jpg?itok=gH_sN_XN,71senmarble23
Senator,Beth Martinez Humenik,24,Republican,303-866-4863,beth.martinezhumenik.senate@state.co.us,/legislators/beth-martinez-humenik,Martinez Humenik,Beth,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_martinez_humenik-co-17.jpg?itok=PLs4T-is,71senmartinez humenik24
Representative,Hugh McKean,51,Republican,303-866-2947,hugh.mckean.house@state.co.us,/legislators/hugh-mckean,McKean,Hugh,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_mckean-co-17.jpg?itok=ZUm8UlLS,71repmckean51
Representative,Barbara McLachlan,59,Democrat,303-866-2914,barbara.mclachlan.house@state.co.us,/legislators/barbara-mclachlan,McLachlan,Barbara,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_mclachlan-co-17.jpg?itok=VnnEiNRM,71repmclachlan59
Representative,Jovan Melton,41,Democrat,303-866-2919,jovan.melton.house@state.co.us,/legislators/jovan-melton,Melton,Jovan,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_melton-co-17.jpg?itok=IszgAPL3,71repmelton41
Senator,Michael Merrifield,11,Democrat,303-866-6364,michael.merrifield.senate@state.co.us,/legislators/michael-merrifield,Merrifield,Michael,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-merrifield%2C%20michael.jpg?itok=41_3WY36,71senmerrifield11
Representative,Dafna Michaelson Jenet,30,Democrat,303-866-2945,dafna.michaelson.jenet.house@state.co.us,/legislators/dafna-michaelson-jenet,Michaelson Jenet,Dafna,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_michaelson_jenet-co-17.jpg?itok=TPdtl5J2,71repmichaelson jenet30
Senator,Dominick Moreno,21,Democrat,303-866-4857,dominick.moreno.senate@state.co.us,/legislators/dominick-moreno,Moreno,Dominick,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_moreno-co-17.jpg?itok=KGpsucZt,71senmoreno21
Representative,Patrick Neville,45,Republican,303-866-5523,patrick.neville.house@state.co.us,/legislators/patrick-neville,Neville,Patrick,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_nevillep-co-17.jpg?itok=wg1chcnL,71repneville45
Senator,Tim Neville,16,Republican,303-866-4873,tim.neville.senate@state.co.us,/legislators/tim-neville,Neville,Tim,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_nevilletim-co-17.jpg?itok=5V-Kf9fh,71senneville16
Representative,Dan Pabon,4,Democrat,303-866-2954,dan.pabon.house@state.co.us,/legislators/dan-pabon,Pabon,Dan,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_pabon-co-17.jpg?itok=bCRtYt5h,71reppabon4
Representative,Brittany Pettersen,28,Democrat,303-866-2939,brittany.pettersen.house@state.co.us,/legislators/brittany-pettersen,Pettersen,Brittany,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_pettersen-co-17.jpg?itok=Sf33p1r8,71reppettersen28
Senator,Kevin Priola,25,Republican,303-866-4855,kpriola@gmail.com,/legislators/kevin-priola,Priola,Kevin,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_priola-co-17.jpg?itok=YKAUvESI,71senpriola25
Representative,Bob Rankin,57,Republican,303-866-2949,bob.rankin.house@state.co.us,/legislators/bob-rankin,Rankin,Bob,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_rankin-c-17.jpg?itok=9adePs6f,71reprankin57
Representative,Kim Ransom,44,Republican,303-866-2933,kim.ransom.house@state.co.us,/legislators/kim-ransom,Ransom,Kim,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_ransom-co-17.jpg?itok=L5TFc_HC,71repransom44
Representative,Judy Reyher,47,Republican,303-866-2905,judy.reyher.house@state.co.us,/legislators/judy-k-reyher,Reyher,Judy,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_jreyher.jpg?itok=NVL9ATKd,71repreyher47
Representative,Dylan Roberts,26,Democrat,303-866-2923,dylan.roberts.house@state.co.us,/legislators/dylan-roberts,Roberts,Dylan,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_droberts.jpg?itok=yacIzp6v,71reproberts26
Representative,Paul Rosenthal,9,Democrat,303-866-2910,paulrosenthal5280@gmail.com,/legislators/paul-rosenthal,Rosenthal,Paul,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_rosenthal-co-17.jpg?itok=nELX5lKv,71reprosenthal9
Representative,Lori Saine,63,Republican,303-866-2906,lori.saine.house@state.co.us,/legislators/lori-saine,Saine,Lori,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_saine-co-15.jpg?itok=SFzUfDz4,71repsaine63
Representative,Joseph Salazar,31,Democrat,303-866-2918,joseph.salazar.house@state.co.us,/legislators/joseph-salazar,Salazar,Joseph,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_salazar-co-17.jpg?itok=Z8NfsAVV,71repsalazar31
Representative,Shane Sandridge,14,Republican,303-866-2965,shane.sandridge.house@state.co.us,/legislators/shane-sandridge,Sandridge,Shane,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_ssandridge.jpg?itok=N74di2rN,71repsandridge14
Senator,Ray Scott,7,Republican,303-866-3077,ray.scott.senate@state.co.us,/legislators/ray-scott,Scott,Ray,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_scott-co-17.jpg?itok=WrYSLBzD,71senscott7
Representative,Lang Sias,27,Republican,303-866-2962,lang.sias.house@state.co.us,/legislators/lang-sias,Sias,Lang,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_sias-co-17.jpg?itok=BZr9IO5e,71repsias27
Representative,Jonathan Singer,11,Democrat,303-866-2780,jonathan.singer.house@state.co.us,/legislators/jonathan-singer,Singer,Jonathan,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_singer-co-17.jpg?itok=KF_qV1tj,71repsinger11
Senator,Jim Smallwood,4,Republican,303-866-4869,senatorsmallwood@gmail.com,/legislators/jim-smallwood,Smallwood,Jim,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_smallwood-co-17.jpg?itok=c9wlAcuZ,71sensmallwood4
Senator,Jerry Sonnenberg,1,Republican,303-866-6360,senatorsonnenberg@gmail.com,/legislators/jerry-sonnenberg,Sonnenberg,Jerry,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_sonnenberg-co-17.jpg?itok=dLQzfKEz,71sensonnenberg1
Senator,Jack Tate,27,Republican,303-866-4883,jack.tate.senate@state.co.us,/legislators/jack-tate,Tate,Jack,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_tate-co-17.jpg?itok=c-lvVRMV,71sentate27
Representative,Dan Thurlow,55,Republican,303-866-3068,danthurlow55@gmail.com,/legislators/dan-thurlow,Thurlow,Dan,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_thurlow-co-17.jpg?itok=NtAAyo7J,71repthurlow55
Senator,Nancy Todd,28,Democrat,303-866-3432,nancy.todd.senate@state.co.us,/legislators/nancy-todd,Todd,Nancy,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_todd-co-17.jpg?itok=_h51gyXW,71sentodd28
Representative,Donald Valdez,62,Democrat,303-866-2916,donald.valdez.house@state.co.us,/legislators/donald-valdez,Valdez,Donald,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_valdez-co-17.jpg?itok=mLOEjazc,71repvaldez62
Representative,Kevin Van Winkle,43,Republican,303-866-2936,kevin.vanwinkle.house@state.co.us,/legislators/kevin-van-winkle,Van Winkle,Kevin,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_vanwinkle-co-17.jpg?itok=PFGbxzPC,71repvan winkle43
Representative,Mike Weissman,36,Democrat,303-866-2942,mike.weissman.house@state.co.us,/legislators/mike-weissman,Weissman,Mike,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_weissman-co-17.jpg?itok=AKqlonZ7,71repweissman36
Representative,Yeulin Willett,54,Republican,303-866-2583,yeulin.willett.house@state.co.us,/legislators/yeulin-willett,Willett,Yeulin,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_willett-co-15.jpg?itok=TzCCVvun,71repwillett54
Senator,Angela Williams,33,Democrat,303-866-4864,angela.williams.senate@state.co.us,/legislators/angela-williams,Williams,Angela,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_williamsangela-co-17.jpg?itok=jLorWT3z,71senwilliams33
Representative,Dave Williams,15,Republican,303-866-5525,dave.williams.house@state.co.us,/legislators/dave-williams,Williams,Dave,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_williams-co-17.jpg?itok=uqx3Ec23,71repwilliams15
Representative,James Wilson,60,Republican,303-866-2747,representativewilson@gmail.com,/legislators/james-d-wilson,Wilson,James,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_wilson-co-17.jpg?itok=G1ZG_S3K,71repwilson60
Representative,"Alexander ""Skinny"" Winkler",34,Republican,303-866-2931,alexander.winkler.house@state.co.us,/legislators/alexander-skinny-winkler,Winkler,"Alexander ""Skinny""",https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_alex_winkler.jpg?itok=7THXn5JT,71repwinkler34
Representative,Faith Winter,35,Democrat,303-866-2843,faith.winter.house@state.co.us,/legislators/faith-winter,Winter,Faith,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_winter-co-17.jpg?itok=lXe6dNx_,71repwinter35
Representative,Cole Wist,37,Republican,303-866-5510,cole.wist.house@state.co.us,/legislators/cole-wist,Wist,Cole,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_h-wist_cole_add_2016.jpg?itok=vU1LOP3W,71repwist37
Representative,Dave Young,50,Democrat,303-866-2929,dave.young.house@state.co.us,/legislators/dave-young,Young,Dave,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_young-co-17.jpg?itok=U-BZUl-d,71repyoung50
Senator,Rachel Zenzinger,19,Democrat,303-866-4840,senatorrachelz@gmail.com,/legislators/rachel-zenzinger,Zenzinger,Rachel,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_zenzinger-co-17.jpg?itok=7htzvNly,71senzenzinger19
